Number,Frequency
12300,0.00240192153723
16400,0.00080064051241
20500,0.00120096076861
2075,0.000400320256205
24625,0.00080064051241
2100,0.00080064051241
6200,0.00120096076861
8250,0.00120096076861
10300,0.000400320256205
14400,0.00520416333066
16450,0.00120096076861
18500,0.00080064051241
12375,0.00200160128102
16475,0.000400320256205
4200,0.00640512409928
6250,0.00280224179343
10350,0.000400320256205
16500,0.00240192153723
18550,0.00080064051241
4225,0.000400320256205
8325,0.00080064051241
10375,0.00120096076861
14475,0.000400320256205
2200,0.00320256204964
10400,0.00160128102482
14500,0.00280224179343
16550,0.000400320256205
2225,0.000400320256205
35000,0.0204163330665
18625,0.000400320256205
20675,0.00080064051241
2250,0.000400320256205
8400,0.00440352281825
10450,0.000400320256205
12500,0.00360288230584
14550,0.000400320256205
18650,0.000400320256205
20700,0.000400320256205
22750,0.000400320256205
4325,0.00120096076861
33000,0.000400320256205
14575,0.000400320256205
4350,0.000400320256205
6400,0.00280224179343
8450,0.00120096076861
10500,0.00320256204964
14600,0.000400320256205
4375,0.00080064051241
31000,0.000400320256205
8475,0.000400320256205
2350,0.000400320256205
4400,0.00120096076861
8500,0.00400320256205
10550,0.000400320256205
18750,0.000400320256205
20800,0.00200160128102
29000,0.00120096076861
31050,0.000400320256205
8525,0.000400320256205
14675,0.00280224179343
18775,0.000400320256205
24925,0.00080064051241
2400,0.00200160128102
31075,0.000400320256205
6500,0.00440352281825
14700,0.000400320256205
16750,0.00240192153723
18800,0.000400320256205
27000,0.00200160128102
6525,0.000400320256205
8575,0.00080064051241
10625,0.00120096076861
14725,0.000400320256205
18825,0.00120096076861
4500,0.00760608486789
8600,0.000400320256205
12700,0.00120096076861
14750,0.000400320256205
16800,0.00240192153723
25000,0.0260208166533
27050,0.00080064051241
6575,0.000400320256205
12725,0.000400320256205
14775,0.000400320256205
2500,0.00760608486789
4550,0.000400320256205
6600,0.00080064051241
20950,0.00160128102482
23000,0.00240192153723
4575,0.00080064051241
6625,0.00120096076861
14825,0.000400320256205
29175,0.00080064051241
4600,0.00080064051241
6650,0.000400320256205
8700,0.000400320256205
10750,0.00160128102482
12800,0.00320256204964
21000,0.00920736589271
2575,0.00080064051241
12825,0.000400320256205
6700,0.00080064051241
10800,0.00200160128102
16950,0.000400320256205
19000,0.00480384307446
31300,0.000400320256205
6725,0.000400320256205
2650,0.000400320256205
4700,0.000400320256205
8800,0.00280224179343
10850,0.000400320256205
17000,0.00680544435548
19050,0.000400320256205
25200,0.000400320256205
6775,0.000400320256205
19075,0.000400320256205
25225,0.000400320256205
2700,0.000400320256205
4750,0.00240192153723
6800,0.000400320256205
15000,0.0392313851081
8875,0.00160128102482
19125,0.00160128102482
4800,0.0112089671737
13000,0.00680544435548
21200,0.00080064051241
4825,0.00080064051241
33500,0.000400320256205
13025,0.000400320256205
2800,0.00240192153723
6900,0.00080064051241
11000,0.00520416333066
19200,0.00160128102482
21250,0.000400320256205
23300,0.000400320256205
31500,0.000400320256205
8975,0.000400320256205
13075,0.000400320256205
4900,0.00080064051241
6950,0.00080064051241
9000,0.0152121697358
11050,0.000400320256205
13100,0.000400320256205
17200,0.000400320256205
2875,0.000400320256205
33600,0.00120096076861
15175,0.000400320256205
4950,0.00120096076861
7000,0.0216172938351
9050,0.000400320256205
11100,0.00080064051241
15200,0.00080064051241
23400,0.000400320256205
25450,0.00080064051241
